Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,114.3,-121.84,90,top
C2,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,149.86,-121.92,90,top
C3,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,126.92,-134.62,180,top
C4,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,172.64,-134.62,180,top
C5,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,159.94,-121.84,90,top
C6,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,195.58,-121.92,90,top
C7,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,220.98,-134.62,180,top
C8,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,205.74,-121.84,90,top
C9,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,243.84,-121.84,90,top
J1,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,141,-55.5,180,top
J2,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,121,-55.5,180,top
J6,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,110,-145.21,90,top
J7,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,126,-145.21,90,top
J8,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,142,-145.21,90,top
J9,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,158,-145.21,90,top
J10,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,174,-145.21,90,top
J11,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,190,-145.21,90,top
J12,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,206,-145.21,90,top
J13,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,222,-145.21,90,top
J14,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,238,-145.21,90,top
Q1,IRF9610,TO-220-3_Vertical,121.92,-109.22,-90,top
Q2,IRF9610,TO-220-3_Vertical,139.7,-109.22,-90,top
Q3,2N7000,TO-92_Inline,116.84,-101.6,0,top
Q4,2N7000,TO-92_Inline,139.7,-101.6,0,top
Q5,IRF9610,TO-220-3_Vertical,167.64,-109.22,-90,top
Q6,2N7000,TO-92_Inline,162.56,-101.6,0,top
Q7,IRF9610,TO-220-3_Vertical,185.42,-109.22,-90,top
Q8,2N7000,TO-92_Inline,185.42,-101.6,0,top
Q9,IRF9610,TO-220-3_Vertical,215.9,-109.22,-90,top
Q10,2N7000,TO-92_Inline,210.82,-101.6,0,top
Q11,IRF9610,TO-220-3_Vertical,233.68,-109.22,-90,top
Q12,2N7000,TO-92_Inline,233.68,-101.6,0,top
R1,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.46,-101.6,0,top
R2,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.46,-93.98,0,top
R3,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,149.86,-93.98,180,top
R4,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,170.18,-101.6,0,top
R5,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,170.18,-93.98,0,top
R6,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,195.58,-93.98,180,top
R7,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,243.84,-93.98,180,top
R8,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,218.44,-93.98,0,top
R9,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,218.44,-101.6,0,top
U1,IRF510,TO-220-3_Vertical,121.92,-121.92,-90,top
U2,IRF510,TO-220-3_Vertical,139.7,-121.92,-90,top
U3,SN74ACT04N,DIP-14_W7.62mm_Socket_LongPads,144.78,-78.74,90,top
U4,IRF510,TO-220-3_Vertical,167.64,-121.92,-90,top
U5,IRF510,TO-220-3_Vertical,185.42,-121.92,-90,top
U6,IRF510,TO-220-3_Vertical,215.9,-121.92,-90,top
U7,IRF510,TO-220-3_Vertical,233.68,-121.92,-90,top
