Comment,Designator,Footprint,LCSC
"100n","C1,C4","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C84772"
"10u","C2,C3","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2761740 "
"10p","C5","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","C123155"
"2.5V","D1,D2","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","C118643 "
"Conn_01x10_Pin","J1,J2","Connector_JST:JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",""
"Output","J10","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Conn_Coaxial","J11","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Conn_01x03_Pin","J3,J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C5360899 "
"Conn_01x05","J4","Connector_Wire:SolderWire-0.75sqmm_1x05_P4.8mm_D1.25mm_OD2.3mm",""
"Setpoint","J6","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Monitor","J7","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Current in +","J8","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Current in -","J9","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"TIP41C","Q1","Package_TO_SOT_THT:TO-220-3_Vertical","C92310"
"TIP42C","Q2","Package_TO_SOT_THT:TO-220-3_Vertical","C92311"
"2R","R1","Package_TO_SOT_THT:TO-220F-2_Horizontal_TabUp","C19708020"
"10k","R2,R3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57204"
"5.1R","R4","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C58639"
"1k","R5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57435"
"47R","R6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C119296"
"100R","R7,R8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57438"
"2.5R","R9","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P30.48mm","C19708020"
"AD823","U1","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
