Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,149.86,-68.58,0,top
C2,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,147.4,-63.5,0,top
C3,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,137.16,-78.74,180,top
C4,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.62,-73.66,180,top
C5,10p,C_Disc_D5.0mm_W2.5mm_P5.00mm,129.62,-83.82,0,top
C6,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,129.54,-101.6,90,top
D1,2.5V,D_DO-35_SOD27_P10.16mm_Horizontal,129.54,-66.04,180,top
D2,2.5V,D_DO-35_SOD27_P10.16mm_Horizontal,129.54,-63.5,180,top
J1,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,141,-55.5,180,top
J2,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,121,-55.5,180,top
J5,+12 V for fans,TerminalBlock_Altech_AK300-2_P5.00mm,172.8,-58.42,0,top
J6,Setpoint,SMA_Molex_73251-1153_EdgeMount_Horizontal,110,-145.21,90,top
J7,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,126,-145.21,90,top
J8,V+,SMA_Molex_73251-1153_EdgeMount_Horizontal,142,-145.21,90,top
J9,V-,SMA_Molex_73251-1153_EdgeMount_Horizontal,158,-145.21,90,top
J10,Output,SMA_Molex_73251-1153_EdgeMount_Horizontal,174,-145.21,90,top
J11,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,190,-145.21,90,top
Q1,TIP41C,TO-220-3_Horizontal_TabUp,139.7,-106.68,0,top
Q2,TIP42C,TO-220-3_Horizontal_TabUp,154.94,-106.68,0,top
R1,2R,TO-220-2_Horizontal_TabUp,170.18,-106.68,0,top
R2,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,119.38,-81.28,90,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,175.26,-93.98,90,top
R4,5.1R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,154.94,-71.12,-90,top
R5,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,127,-73.66,-90,top
R6,2k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,124.46,-101.6,-90,top
R7,100R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,139.7,-83.82,-90,top
R8,100R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,154.94,-83.82,-90,top
R9,2.5R,R_Axial_Power_L25.0mm_W9.0mm_P30.48mm,182.88,-106.68,-90,top
R10,240R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,125.45,-96.52,0,top
RV1,60V Varistor,RV_Disc_D15.5mm_W6.4mm_P7.5mm,172.6,-137.72,180,top
U1,ADA4700-1,SOIC-8_3.9x4.9mm_P1.27mm,142.24,-70.485,0,top
U2,LM317HV,TO-220-3_Horizontal_TabUp,124.46,-106.68,0,top
