Comment,Designator,Footprint,LCSC
"100n","C1,C4,C6","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C1945"
"10u","C2,C3","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2761740 "
"10p","C5","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","C123155"
"2.5V","D1,D2","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","C118643 "
"Conn_01x10_Pin","J1,J2","Connector_JST:JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",""
"Output","J10","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Conn_01x05","J4","Connector_Wire:SolderWire-0.75sqmm_1x05_P4.8mm_D1.25mm_OD2.3mm",""
"Screw_Terminal_01x02","J5","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","C3703"
"Setpoint","J6","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"Conn_Coaxial","J7,J11","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"V+","J8","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"V-","J9","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"TIP41C","Q1","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","C92310"
"TIP42C","Q2","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","C92311"
"2R","R1","Package_TO_SOT_THT:TO-220-2_Horizontal_TabUp","C19708020"
"240R","R10","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17961"
"10k","R2,R3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57204"
"5.1R","R4","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C58639"
"1k","R5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57435"
"2k","R6","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17944"
"100R","R7,R8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57438"
"2.5R","R9","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P30.48mm","C19708020"
"60V Varistor","RV1","Varistor:RV_Disc_D15.5mm_W6.4mm_P7.5mm",""
"ADA4700-1","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C654219 "
"LM317HV","U2","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","C468256"
