Comment,Designator,Footprint,LCSC
"1u","C1,C2,C3","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C5632429"
"10u","C4,C6,C8,C9","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2761733"
"100n","C5,C7,C10,C11","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C5632437"
"1N5230","D1,D2,D3","Diode_THT:D_A-405_P10.16mm_Horizontal","C895238"
"Conn_01x10_Pin","J1,J2","Connector_JST:JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",""
"Screw_Terminal_01x02","J13","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","C8465"
"Conn_01x05","J4","Connector_Wire:SolderWire-0.75sqmm_1x05_P4.8mm_D1.25mm_OD2.3mm",""
"Conn_Coaxial","J6,J7,J8,J9,J10,J11","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"100R","R1,R2,R6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C119304"
"1k","R10,R11,R12","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C713997"
"10k","R3,R4,R5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C410695"
"2.5R","R7,R8,R9","Resistor_THT:R_Axial_Power_L25.0mm_W6.4mm_P30.48mm",""
"AD823","U1,U2","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"IRF510","U3,U4,U5","Package_TO_SOT_THT:TO-220-3_Vertical","C727603"
